name,party,location,cabinet,party_group
Nigel Adams,Conservative,Selby and Ainsty,Minister of State (Cabinet Office) (Minister without Portfolio),Conservative
Bim Afolami,Conservative,Hitchin and Harpenden,,Conservative
Adam Afriyie,Conservative,Windsor,,Conservative
Nickie Aiken,Conservative,Cities of London and Westminster,,Conservative
Peter Aldous,Conservative,Waveney,,Conservative
Lucy Allan,Conservative,Telford,,Conservative
Lee Anderson,Conservative,Ashfield,,Conservative
Stuart Anderson,Conservative,Wolverhampton South West,,Conservative
Stuart Andrew,Conservative,Pudsey,"Treasurer of HM Household (Deputy Chief Whip, House of Commons)",Conservative
Caroline Ansell,Conservative,Eastbourne,,Conservative
Edward Argar,Conservative,Charnwood,Minister of State (Department of Health and Social Care),Conservative
Sarah Atherton,Conservative,Wrexham,,Conservative
Victoria Atkins,Conservative,Louth and Horncastle,Minister of State (Ministry of Justice),Conservative
Gareth Bacon,Conservative,Orpington,,Conservative
Richard Bacon,Conservative,South Norfolk,,Conservative
Kemi Badenoch,Conservative,Saffron Walden,Minister for Equalities,Conservative
Shaun Bailey,Conservative,West Bromwich West,,Conservative
Siobhan Baillie,Conservative,Stroud,,Conservative
Duncan Baker,Conservative,North Norfolk,,Conservative
Steve Baker,Conservative,Wycombe,,Conservative
Harriett Baldwin,Conservative,West Worcestershire,,Conservative
Steve Barclay,Conservative,North East Cambridgeshire,Minister for the Cabinet Office and Chancellor of the Duchy of Lancaster,Conservative
John Baron,Conservative,Basildon and Billericay,,Conservative
Simon Baynes,Conservative,Clwyd South,,Conservative
Aaron Bell,Conservative,"Newcastle, under, Lyme",,Conservative
Scott Benton,Conservative,Blackpool South,,Conservative
Paul Beresford,Conservative,Mole Valley,,Conservative
Jake Berry,Conservative,Rossendale and Darwen,,Conservative
Saqib Bhatti,Conservative,Meriden,,Conservative
Bob Blackman,Conservative,Harrow East,,Conservative
Crispin Blunt,Conservative,Reigate,,Conservative
Peter Bone,Conservative,Wellingborough,,Conservative
Peter Bottomley,Conservative,Worthing West,,Conservative
Andrew Bowie,Conservative,West Aberdeenshire and Kincardine,,Conservative
Ben Bradley,Conservative,Mansfield,,Conservative
Karen Bradley,Conservative,Staffordshire Moorlands,,Conservative
Graham Brady,Conservative,Altrincham and Sale West,,Conservative
Suella Braverman,Conservative,Fareham,Attorney General,Conservative
Jack Brereton,Conservative,"Stoke, on, Trent South",,Conservative
Andrew Bridgen,Conservative,North West Leicestershire,,Conservative
Steve Brine,Conservative,Winchester,,Conservative
Paul Bristow,Conservative,Peterborough,,Conservative
Sara Britcliffe,Conservative,Hyndburn,,Conservative
Anthony Browne,Conservative,South Cambridgeshire,,Conservative
Fiona Bruce,Conservative,Congleton,,Conservative
Felicity Buchan,Conservative,Kensington,,Conservative
Robert Buckland,Conservative,South Swindon,,Conservative
Alex Burghart,Conservative,Brentwood and Ongar,Parliamentary Under-Secretary (Department for Education),Conservative
Conor Burns,Conservative,Bournemouth West,Minister of State (Northern Ireland Office),Conservative
Rob Butler,Conservative,Aylesbury,,Conservative
Alun Cairns,Conservative,Vale of Glamorgan,,Conservative
Andy Carter,Conservative,Warrington South,,Conservative
James Cartlidge,Conservative,South Suffolk,Parliamentary Under Secretary of State (Ministry of Justice) (and Assistant Government Whip),Conservative
William Cash,Conservative,Stone,,Conservative
Miriam Cates,Conservative,Penistone and Stocksbridge,,Conservative
Maria Caulfield,Conservative,Lewes,Parliamentary Under-Secretary (Department of Health and Social Care),Conservative
Alex Chalk,Conservative,Cheltenham,Solicitor General (Attorney General's Office),Conservative
Rehman Chishti,Conservative,Gillingham and Rainham,,Conservative
Christopher Chope,Conservative,Christchurch,,Conservative
Jo Churchill,Conservative,Bury St Edmunds,"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs)",Conservative
Greg Clark,Conservative,Tunbridge Wells,,Conservative
Simon Clarke,Conservative,Middlesbrough South and East Cleveland,Chief Secretary to the Treasury,Conservative
Theo Clarke,Conservative,Stafford,,Conservative
Brendan Clarke-Smith,Conservative,Bassetlaw,,Conservative
Chris Clarkson,Conservative,Heywood and Middleton,,Conservative
James Cleverly,Conservative,Braintree,"Minister of State (Foreign, Commonwealth and Development Office)",Conservative
Geoffrey Clifton-Brown,Conservative,The Cotswolds,,Conservative
Thérèse Coffey,Conservative,Suffolk Coastal,Secretary of State for Work and Pensions,Conservative
Elliot Colburn,Conservative,Carshalton and Wallington,,Conservative
Damian Collins,Conservative,Folkestone and Hythe,,Conservative
Alberto Costa,Conservative,South Leicestershire,,Conservative
Robert Courts,Conservative,Witney,Parliamentary Under-Secretary (Department for Transport),Conservative
Claire Coutinho,Conservative,East Surrey,,Conservative
Geoffrey Cox,Conservative,Torridge and West Devon,,Conservative
Stephen Crabb,Conservative,Preseli Pembrokeshire,,Conservative
Virginia Crosbie,Conservative,Ynys Môn,,Conservative
Tracey Crouch,Conservative,Chatham and Aylesford,,Conservative
James Daly,Conservative,Bury North,,Conservative
