name,expenses_link
Nigel Adams,https://www.parallelparliament.co.uk/mp/Nigel-Adams/expenses
Bim Afolami,https://www.parallelparliament.co.uk/mp/Bim-Afolami/expenses
Adam Afriyie,https://www.parallelparliament.co.uk/mp/Adam-Afriyie/expenses
Nickie Aiken,https://www.parallelparliament.co.uk/mp/Nickie-Aiken/expenses
Peter Aldous,https://www.parallelparliament.co.uk/mp/Peter-Aldous/expenses
Lucy Allan,https://www.parallelparliament.co.uk/mp/Lucy-Allan/expenses
Lee Anderson,https://www.parallelparliament.co.uk/mp/Lee-Anderson/expenses
Stuart Anderson,https://www.parallelparliament.co.uk/mp/Stuart-Anderson/expenses
Stuart Andrew,https://www.parallelparliament.co.uk/mp/Stuart-Andrew/expenses
Caroline Ansell,https://www.parallelparliament.co.uk/mp/Caroline-Ansell/expenses
Edward Argar,https://www.parallelparliament.co.uk/mp/Edward-Argar/expenses
Sarah Atherton,https://www.parallelparliament.co.uk/mp/Sarah-Atherton/expenses
Victoria Atkins,https://www.parallelparliament.co.uk/mp/Victoria-Atkins/expenses
Gareth Bacon,https://www.parallelparliament.co.uk/mp/Gareth-Bacon/expenses
Richard Bacon,https://www.parallelparliament.co.uk/mp/Richard-Bacon/expenses
Kemi Badenoch,https://www.parallelparliament.co.uk/mp/Kemi-Badenoch/expenses
Shaun Bailey,https://www.parallelparliament.co.uk/mp/Shaun-Bailey/expenses
Siobhan Baillie,https://www.parallelparliament.co.uk/mp/Siobhan-Baillie/expenses
Duncan Baker,https://www.parallelparliament.co.uk/mp/Duncan-Baker/expenses
Steve Baker,https://www.parallelparliament.co.uk/mp/Steve-Baker/expenses
Harriett Baldwin,https://www.parallelparliament.co.uk/mp/Harriett-Baldwin/expenses
Steve Barclay,https://www.parallelparliament.co.uk/mp/Steve-Barclay/expenses
John Baron,https://www.parallelparliament.co.uk/mp/John-Baron/expenses
Simon Baynes,https://www.parallelparliament.co.uk/mp/Simon-Baynes/expenses
Aaron Bell,https://www.parallelparliament.co.uk/mp/Aaron-Bell/expenses
Scott Benton,https://www.parallelparliament.co.uk/mp/Scott-Benton/expenses
Paul Beresford,https://www.parallelparliament.co.uk/mp/Paul-Beresford/expenses
Jake Berry,https://www.parallelparliament.co.uk/mp/Jake-Berry/expenses
Saqib Bhatti,https://www.parallelparliament.co.uk/mp/Saqib-Bhatti/expenses
Bob Blackman,https://www.parallelparliament.co.uk/mp/Bob-Blackman/expenses
Crispin Blunt,https://www.parallelparliament.co.uk/mp/Crispin-Blunt/expenses
Peter Bone,https://www.parallelparliament.co.uk/mp/Peter-Bone/expenses
Peter Bottomley,https://www.parallelparliament.co.uk/mp/Peter-Bottomley/expenses
Andrew Bowie,https://www.parallelparliament.co.uk/mp/Andrew-Bowie/expenses
Ben Bradley,https://www.parallelparliament.co.uk/mp/Ben-Bradley/expenses
Karen Bradley,https://www.parallelparliament.co.uk/mp/Karen-Bradley/expenses
Graham Brady,https://www.parallelparliament.co.uk/mp/Graham-Brady/expenses
Suella Braverman,https://www.parallelparliament.co.uk/mp/Suella-Braverman/expenses
Jack Brereton,https://www.parallelparliament.co.uk/mp/Jack-Brereton/expenses
Andrew Bridgen,https://www.parallelparliament.co.uk/mp/Andrew-Bridgen/expenses
Steve Brine,https://www.parallelparliament.co.uk/mp/Steve-Brine/expenses
Paul Bristow,https://www.parallelparliament.co.uk/mp/Paul-Bristow/expenses
Sara Britcliffe,https://www.parallelparliament.co.uk/mp/Sara-Britcliffe/expenses
Anthony Browne,https://www.parallelparliament.co.uk/mp/Anthony-Browne/expenses
Fiona Bruce,https://www.parallelparliament.co.uk/mp/Fiona-Bruce/expenses
Felicity Buchan,https://www.parallelparliament.co.uk/mp/Felicity-Buchan/expenses
Robert Buckland,https://www.parallelparliament.co.uk/mp/Robert-Buckland/expenses
Alex Burghart,https://www.parallelparliament.co.uk/mp/Alex-Burghart/expenses
Conor Burns,https://www.parallelparliament.co.uk/mp/Conor-Burns/expenses
Rob Butler,https://www.parallelparliament.co.uk/mp/Rob-Butler/expenses
Alun Cairns,https://www.parallelparliament.co.uk/mp/Alun-Cairns/expenses
Andy Carter,https://www.parallelparliament.co.uk/mp/Andy-Carter/expenses
James Cartlidge,https://www.parallelparliament.co.uk/mp/James-Cartlidge/expenses
William Cash,https://www.parallelparliament.co.uk/mp/William-Cash/expenses
Miriam Cates,https://www.parallelparliament.co.uk/mp/Miriam-Cates/expenses
Maria Caulfield,https://www.parallelparliament.co.uk/mp/Maria-Caulfield/expenses
Alex Chalk,https://www.parallelparliament.co.uk/mp/Alex-Chalk/expenses
Rehman Chishti,https://www.parallelparliament.co.uk/mp/Rehman-Chishti/expenses
Christopher Chope,https://www.parallelparliament.co.uk/mp/Christopher-Chope/expenses
Jo Churchill,https://www.parallelparliament.co.uk/mp/Jo-Churchill/expenses
Greg Clark,https://www.parallelparliament.co.uk/mp/Greg-Clark/expenses
Simon Clarke,https://www.parallelparliament.co.uk/mp/Simon-Clarke/expenses
